collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
13777		Oviraptor		Theropoda	6048	Mongolia	Omnogov		43.250000	99.750000	Cretaceous	"Cretaceous 7"	83.500	70.600
13777	"n. gen."	Bagaceratops		Protoceratops	6048	Mongolia	Omnogov		43.250000	99.750000	Cretaceous	"Cretaceous 7"	83.500	70.600
13777		Faveoloolithus		Dinosauria	6048	Mongolia	Omnogov		43.250000	99.750000	Cretaceous	"Cretaceous 7"	83.500	70.600
13937	"n. gen."	Scansoriopteryx			6171	China	Liaoning	Lingyuan	41.366667	121.416667	Cretaceous	"Cretaceous 2"	130.000	125.000
13937	"n. gen."	Dalingheornis			6171	China	Liaoning	Lingyuan	41.366667	121.416667	Cretaceous	"Cretaceous 2"	130.000	125.000
13937	"n. gen."	Tianyuraptor			6171	China	Liaoning	Lingyuan	41.366667	121.416667	Cretaceous	"Cretaceous 2"	130.000	125.000
13937	"n. gen."	Longicrusavis			6171	China	Liaoning	Lingyuan	41.366667	121.416667	Cretaceous	"Cretaceous 2"	130.000	125.000
13937		Sinosauropteryx			6171	China	Liaoning	Lingyuan	41.366667	121.416667	Cretaceous	"Cretaceous 2"	130.000	125.000
14374		Deinonychus			1219	"United States"	Oklahoma	Atoka	34.4	-96.1	Cretaceous		125.000	99.600
14374		Tenontosaurus			1219	"United States"	Oklahoma	Atoka	34.4	-96.1	Cretaceous		125.000	99.600
14375	?	Tenontosaurus			3184	"United States"	Texas	Wise	33.283333	-97.616667	Cretaceous	"Cretaceous 4"	112.000	99.600
14379		Deinonychus			2023	"United States"	Montana	"Big Horn"	45.2262	-108.8113	Cretaceous		125.000	99.600
14388		Astrodon		Sauropoda	19641	"United States"	Texas	Montague	33.500178	-97.582739	Cretaceous	"Cretaceous 4"	112.000	99.600
14388	?	Tenontosaurus	""""	Camptosauridae	19641	"United States"	Texas	Montague	33.500178	-97.582739	Cretaceous	"Cretaceous 4"	112.000	99.600
14392		Astrodon			1212	"United States"	Oklahoma	Atoka	34.4	-96.1	Cretaceous		125.000	99.600
14392		Tenontosaurus			1212	"United States"	Oklahoma	Atoka	34.4	-96.1	Cretaceous		125.000	99.600
14392	cf.	Deinonychus			1212	"United States"	Oklahoma	Atoka	34.4	-96.1	Cretaceous		125.000	99.600
14392		Acrocanthosaurus		Acrocanthosaurus	1212	"United States"	Oklahoma	Atoka	34.4	-96.1	Cretaceous		125.000	99.600
